Id,Category
pOF3KfLc97w,1
vusj8ki0w_I,1
qjKPHjVW5zY,1
cUAr7cWHSRY,1
8lNeEnCJI9w,1
LbuHmxNWMko,1
KO5-6OhtbCU,1
WvzFghyMDnY,1
d-xpMBCqdQk,1
B5pOA9BChQA,1
jQyksvgdEAI,1
ezpGhF39QSU,1
MqVMak3Yg3A,1
ToDVECh3Q1o,1
e1-tJPX2NAo,1
s10irePwPoU,1
Gs7XPJ-Q3iA,1
T5-g1OetDqE,1
Lmpfn5goqwM,1
0Ro9gkDEyOw,1
rA98lrrOlTA,1
T2qEHM9gEVc,1
c_lzAVmoe1k,1
1qgCwsL4bJI,1
-SMljwKkK2o,1
hD3kBrXWYI0,1
3gERdvy08C0,1
BG2gX0if4ZI,1
v6fOoMa_TTs,1
3rLUC1SCmRA,1
qVXggaCHaWs,1
wnzpjuSJ5oo,1
djMZ9IvvRlk,1
oHsB2PWu4sk,1
LTOi-xFTpFQ,1
GC4IJimKSG0,1
ZQE4kkJdCjc,1
bYeQkkT9UJM,1
jaLVAeoV-Pk,1
pfGVOnZxAZI,1
7SnR4wD7cJA,1
VjLGsepdPdE,1
ZaLhaq61ows,1
kMy_gX06EOA,1
K2M9ipHXzFM,1
_nuJDs07A6A,1
4EcrWMuI9VY,1
ces4svMRNtk,1
LAVOEsBfxso,1
zT2ionNN2LU,1
hvFuWMQmyVk,1
BWyL1HYkh5U,1
UpNtm73FEgw,1
yum2OwwJL78,1
TF3xyM5NeT8,1
DT7hQM4XAPQ,1
UPINTns7hpc,1
5HddBm-SnPM,1
7JkHfRSFprk,1
VTuEkE7YwiM,1
vBwo8aUY23I,1
Su8m4FkRXa8,1
u1e9TF-GOwc,1
M3uSgUTt_Ck,1
fjHaXj6WnJI,1
5TV73ozA3IU,1
lMlmAXhUCn4,1
7fKYZukNjTA,1
6JldyT20gCU,1
pU63e2KyuQA,1
Q1nRMhejZME,1
zRt1XDOycmA,1
aA2LKU_kFcw,1
asmbBJ2Yiuc,1
hT-ShAYuPM8,1
GHe2fnDXZUQ,1
GRmzyhfLDqM,1
DTjfnQ7mc8A,1
yIoOUjyc8Mg,1
4oM2BQ17dgo,1
c740aEi3EcI,1
8b4DVYHiJzg,1
B6NHswsygS8,1
qmqCsAq5cOc,1
bY8kXFacdyk,1
Twxz-ZJiPZQ,1
sv9jQK448Vc,1
1ZKnYv2QvvY,1
MZ8C4qPtiSw,1
